address,lont,lat
"永和區	成功路2段150號",121.5266959,24.9973642
"中和區	自立路9號",121.5226366,24.9964558
"中和區	自立路9號",121.5226366,24.9964558
"三峽區	嘉添227之7號",121.3913253,24.9050145
"三峽區	嘉添227之7號",121.3913253,24.9050145
"土城區	延和路110號",121.467237,24.9898059
"土城區	延和路110號",121.467237,24.9898059
"淡水區	淡金路4段560號",121.4518637,25.2275807
"淡水區	淡金路4段560號",121.4518637,25.2275807
"五股區	中興路1段61號",121.4678779,25.0725311
"五股區	中興路1段95巷4弄3號",121.466247,25.072598
"三重區	中興北街136巷18弄18號",121.4679373,25.0552205
"三重區	國道路1段59號",121.4811997,25.0728213
"淡水區	八勢一街1號",121.4600787,25.1560718
"中和區	立德街112號B1樓",121.487238,25.008406
"中和區	立德街112號B1樓",121.487238,25.008406
"五股區	五權路54號",121.4542115,25.0689908
"樹林區	忠愛街2號1樓",121.409061,25.015563
"新莊區	五權一路3號之2, 1樓",121.4574057,25.0657579
"樹林區	忠愛街1號1樓",121.4090831,25.0157849
"新店區	民生路29號",121.5326456,24.986289
"樹林區	武林街16之1號",121.4203394,25.0032395
"樹林區	保安街3段1巷1號",121.4115233,25.0100261
"三重區	新北大道1段100巷31號",121.4836637,25.061286
"三重區	新北大道1段100巷31號",121.4836637,25.061286
"土城區	中央路2段308號",121.4404308,24.9732309
"三芝區	中山路1段47號",121.5007608,25.2575468
"三芝區	中山路1段47號",121.5007608,25.2575468
"五股區	成泰路3段544之1號",121.4527029,25.1032327
"五股區	成泰路3段544之1號",121.4527029,25.1032327
"板橋區	龍興街58號",121.4434704,25.0013174
"板橋區	南雅南路2段144巷92號1樓",121.45015,24.99563
"板橋區	信義路163巷1號5樓",121.458758,24.99276
"板橋區	南雅南路2段144巷92號1樓",121.45015,24.99563
"淡水區	中正路32號1樓",121.4439951,25.1693308
"淡水區	中正路32號1樓",121.4439951,25.1693308
"板橋區	國慶路149巷26號",121.4611425,24.9976093
"淡水區	中正路1段62巷8號",121.4327391,25.1748783
"淡水區	中正路1段62巷8號",121.4327391,25.1748783
"三重區	正義北路299號1樓",121.4948568,25.0707876
"永和區	永利路1號",121.5173435,25.0061696
"永和區	永利路1號",121.5173435,25.0061696
"土城區	永豐路189號",121.4704901,24.978126
"林口區	工二工業區工二路15號",121.4014002,25.0818339
"五股區	成泰路1段8巷9之8號",121.4343696,25.0673996
"五股區	成泰路1段8巷9之8號",121.4343696,25.0673996
"板橋區	和平路14巷30號",121.461803,24.9918879
"板橋區	和平路14巷30號1、2樓",121.461803,24.9918879
"新店區	北新路3段205號2樓",121.5397461,24.9841243
"土城區	中央路3段87號7樓之1",121.437917,24.96769
"土城區	中央路3段87號7樓之1",121.437917,24.96769
"土城區	延安街9號",121.4674002,24.9859581
"汐止區	汐萬路1段296號",121.6506907,25.0745086
"汐止區	汐萬路1段296號",121.6506907,25.0745086
"淡水區	北新路117之3號1樓",121.4486851,25.1786675
"淡水區	北新路117之3號1樓",121.4486851,25.1786675
"板橋區	廣和街33之1號",121.4628016,24.9936997
"板橋區	四維路112巷143之12號之14",121.4654914,25.0247025
"板橋區	四維路112巷143之12號之14",121.4654914,25.0247025
"三重區	中興北街136巷18弄18號",121.4679373,25.0552205
"三峽區	學成路229號",121.3750768,24.9427271
"三峽區	學成路229號",121.3750768,24.9427271
"淡水區	觀海路83號1樓",121.4159545,25.1815979
"新莊區	雙鳳路111號6樓",121.4139087,25.0280204
"中和區	員山路464號1樓",121.4799959,25.0063961
"中和區	員山路464號1樓",121.4799959,25.0063961
"中和區	圓通路289號",121.4952211,24.9927264
"中和區	景平路522號1樓",121.5032908,24.9942122
"汐止區	中興路150巷8之1號",121.633079,25.064908
"淡水區	新市一路2段115號",121.4435971,25.182984
"淡水區	英專路95號1樓",121.4457295,25.1718963
"三重區	溪尾街204號1樓",121.4881769,25.0811007
"淡水區	英專路95號1樓",121.4457295,25.1718963
"樹林區	保安街1段102號",121.425042,24.9945099
"永和區	得和路166號",121.519565,25.0000484
"三重區	三和路2段55號",121.5005247,25.0678084
"永和區	福和路288號",121.517413,25.00758
"三重區	三和路2段55號",121.5005247,25.0678084
"五股區	工商路56號",121.4390852,25.0843222
"新莊區	福德二街53號1樓",121.461003,25.0570078
"新莊區	福德二街53號1樓",121.461003,25.0570078
"永和區	中山路1段238號B2樓",121.5076921,25.008209
"新莊區	中正路368號",121.4434171,25.0343057
"土城區	明德路1段56號",121.453432,24.9796199
"板橋區	大仁街78號",121.454251,25.016406
"板橋區	新海路129號",121.4608679,25.0230783
"蘆洲區	集賢路396號",121.4802542,25.082465
"板橋區	中山路1段120號",121.4631173,25.0105447
"板橋區	大仁街78號",121.454251,25.016406
"蘆洲區	集賢路369號",121.480388,25.0822104
"三重區	溪尾街204號1樓",121.4881769,25.0811007
"板橋區	實踐路90號",121.463947,25.0049999
"板橋區	實踐路90號",121.463947,25.0049999
"新店區	中興路3段1號",121.5460989,24.9767887
"汐止區	水源路1段",121.6559726,25.0623574
"汐止區	福德二路156巷3號1樓",121.6307759,25.065477
"汐止區	福德二路156巷3號1樓",121.6307759,25.065477
"淡水區	中正路11巷1號",121.4390754,25.1701959
"板橋區	裕民街279巷60號",121.4586314,25.0270828
"中和區	立德街148巷52號6樓",121.4863667,25.0092786
"三峽區	和平街69號",121.3701233,24.9369633
"中和區	建一路253號",121.488327,24.996826
"中和區	建一路253號",121.488327,24.996826
"中和區	員山路289號1樓",121.481166,24.9999399
"林口區	文化三路1段356號2樓",121.3639607,25.0707347
"新店區	北新路2段150號",121.5431453,24.9751965
"蘆洲區	得勝街135號",121.472097,25.0832719
"三重區	中華路90號",121.483269,25.062934
"三重區	長元街44號",121.4998121,25.0661193
"三重區	文化北路200巷1之1號",121.4978868,25.0681637
"蘆洲區	中華街73號",121.461999,25.0803647
"三重區	車路頭街159號1樓",121.4838124,25.0772355
